guest_id,country_of_origin,total_bookings_lifetime,total_cancellations_lifetime,cancellation_ratio
G_00176,Thailand,3.0,3.0,1.0
G_00177,Germany,4.0,2.0,0.5
G_00178,Germany,0.0,0.0,0.0
G_00179,UK,1.0,1.0,1.0
G_00180,Japan,3.0,1.0,0.33
G_00181,UK,1.0,1.0,1.0
G_00182,China,0.0,0.0,0.0
G_00183,Thailand,0.0,0.0,0.0
G_00184,Japan,0.0,0.0,0.0
G_00185,Thailand,2.0,1.0,0.5
G_00186,Japan,3.0,2.0,0.67
G_00187,Japan,1.0,1.0,1.0
G_00188,China,3.0,2.0,0.67
G_00189,Thailand,1.0,1.0,1.0
G_00190,Thailand,1.0,1.0,1.0
G_00191,Thailand,3.0,2.0,0.67
G_00192,Thailand,1.0,0.0,0.0
G_00193,Thailand,1.0,1.0,1.0
G_00194,Germany,1.0,0.0,0.0
G_00195,UK,1.0,1.0,1.0
G_00196,Thailand,1.0,0.0,0.0
G_00197,Thailand,2.0,2.0,1.0
G_00198,USA,0.0,0.0,0.0
G_00199,China,2.0,1.0,0.5
G_00200,UK,2.0,1.0,0.5
G_00201,Germany,2.0,2.0,1.0
G_00202,USA,1.0,0.0,0.0
G_00203,Germany,1.0,1.0,1.0
G_00204,Australia,2.0,2.0,1.0
G_00205,Thailand,0.0,0.0,0.0
G_00206,Germany,2.0,1.0,0.5
G_00207,Thailand,3.0,2.0,0.67
G_00208,Japan,3.0,2.0,0.67
G_00209,Thailand,1.0,0.0,0.0
G_00210,Australia,1.0,1.0,1.0
G_00211,Australia,1.0,0.0,0.0
G_00212,Japan,2.0,2.0,1.0
G_00213,Japan,0.0,0.0,0.0
G_00214,Thailand,1.0,0.0,0.0
G_00215,Thailand,2.0,2.0,1.0
G_00216,USA,1.0,1.0,1.0
G_00217,Thailand,1.0,1.0,1.0
G_00218,China,1.0,1.0,1.0
G_00219,Thailand,0.0,0.0,0.0
G_00220,Germany,3.0,3.0,1.0
G_00221,China,3.0,2.0,0.67
G_00222,Japan,0.0,0.0,0.0
G_00223,Thailand,2.0,2.0,1.0
G_00224,Australia,3.0,2.0,0.67
G_00225,Germany,0.0,0.0,0.0
G_00226,USA,1.0,1.0,1.0
G_00227,China,3.0,2.0,0.67
G_00228,Japan,1.0,1.0,1.0
G_00229,Thailand,0.0,0.0,0.0
G_00230,UK,3.0,1.0,0.33
G_00231,Thailand,2.0,1.0,0.5
G_00232,Thailand,2.0,2.0,1.0
G_00233,Thailand,3.0,2.0,0.67
G_00234,Thailand,2.0,1.0,0.5
G_00235,Thailand,3.0,2.0,0.67
G_00236,Thailand,4.0,3.0,0.75
G_00237,Germany,3.0,3.0,1.0
G_00238,UK,1.0,1.0,1.0
G_00239,Germany,0.0,0.0,0.0
G_00240,USA,1.0,1.0,1.0
G_00241,Thailand,5.0,2.0,0.4
G_00242,UK,4.0,3.0,0.75
G_00243,USA,3.0,3.0,1.0
G_00244,Thailand,1.0,0.0,0.0
G_00245,China,1.0,0.0,0.0
G_00246,Thailand,1.0,1.0,1.0
G_00247,China,2.0,2.0,1.0
G_00248,China,1.0,1.0,1.0
G_00249,Thailand,1.0,0.0,0.0
G_00250,Thailand,2.0,2.0,1.0
G_00251,Japan,2.0,0.0,0.0
G_00252,USA,0.0,0.0,0.0
G_00253,Thailand,1.0,1.0,1.0
G_00254,Germany,1.0,1.0,1.0
G_00255,Thailand,2.0,1.0,0.5
G_00256,China,1.0,1.0,1.0
G_00257,Germany,2.0,1.0,0.5
G_00258,Thailand,3.0,1.0,0.33
G_00259,Thailand,0.0,0.0,0.0
G_00260,Thailand,3.0,2.0,0.67
G_00261,Thailand,0.0,0.0,0.0
G_00262,Thailand,1.0,1.0,1.0
G_00263,China,2.0,1.0,0.5
G_00264,Thailand,0.0,0.0,0.0
G_00265,UK,1.0,1.0,1.0
G_00266,Germany,0.0,0.0,0.0
G_00267,Japan,2.0,1.0,0.5
G_00268,China,2.0,1.0,0.5
G_00269,Thailand,0.0,0.0,0.0
G_00270,China,2.0,1.0,0.5
G_00271,UK,0.0,0.0,0.0
G_00272,USA,3.0,3.0,1.0
G_00273,Thailand,3.0,1.0,0.33
G_00274,Australia,0.0,0.0,0.0
G_00275,USA,2.0,2.0,1.0
G_00276,Thailand,2.0,1.0,0.5
G_00277,Thailand,2.0,2.0,1.0
G_00278,USA,2.0,2.0,1.0
G_00279,Japan,0.0,0.0,0.0
G_00280,China,2.0,1.0,0.5
G_00281,Japan,1.0,1.0,1.0
G_00282,Thailand,1.0,0.0,0.0
G_00283,USA,0.0,0.0,0.0
G_00284,USA,1.0,1.0,1.0
G_00285,Thailand,1.0,1.0,1.0
G_00286,Thailand,2.0,2.0,1.0
G_00287,Japan,4.0,3.0,0.75
G_00288,Thailand,2.0,1.0,0.5
G_00289,UK,2.0,1.0,0.5
G_00290,Thailand,1.0,0.0,0.0
G_00291,Thailand,0.0,0.0,0.0
G_00292,Thailand,1.0,1.0,1.0
G_00293,Germany,2.0,2.0,1.0
G_00294,Japan,3.0,1.0,0.33
G_00295,Germany,2.0,1.0,0.5
G_00296,USA,1.0,1.0,1.0
G_00297,Thailand,1.0,0.0,0.0
G_00298,UK,2.0,2.0,1.0
G_00299,USA,0.0,0.0,0.0
G_00300,Japan,2.0,2.0,1.0
G_00301,Thailand,0.0,0.0,0.0
G_00302,USA,2.0,2.0,1.0
G_00303,Thailand,2.0,2.0,1.0
G_00304,Thailand,1.0,0.0,0.0
G_00305,China,2.0,2.0,1.0
G_00306,USA,1.0,1.0,1.0
G_00307,Thailand,5.0,3.0,0.6
G_00308,Thailand,1.0,1.0,1.0
G_00309,USA,2.0,1.0,0.5
G_00310,Japan,2.0,1.0,0.5
G_00311,Australia,0.0,0.0,0.0
G_00312,Germany,1.0,1.0,1.0
G_00313,Japan,2.0,2.0,1.0
G_00314,Thailand,2.0,2.0,1.0
G_00315,China,0.0,0.0,0.0
G_00316,USA,2.0,0.0,0.0
G_00317,Thailand,3.0,1.0,0.33
G_00318,Japan,1.0,1.0,1.0
G_00319,Thailand,2.0,2.0,1.0
G_00320,Germany,1.0,1.0,1.0
G_00321,USA,2.0,1.0,0.5
G_00322,China,2.0,2.0,1.0
G_00323,China,1.0,1.0,1.0
G_00324,Australia,0.0,0.0,0.0
G_00325,China,1.0,0.0,0.0
G_00326,China,1.0,1.0,1.0
G_00327,Thailand,2.0,2.0,1.0
G_00328,UK,3.0,3.0,1.0
G_00329,Thailand,2.0,2.0,1.0
G_00330,China,1.0,1.0,1.0
G_00331,UK,2.0,1.0,0.5
G_00332,China,3.0,0.0,0.0
G_00333,Thailand,3.0,2.0,0.67
G_00334,Thailand,3.0,1.0,0.33
G_00335,China,2.0,0.0,0.0
G_00336,Thailand,3.0,3.0,1.0
G_00337,Thailand,3.0,2.0,0.67
G_00338,Thailand,1.0,1.0,1.0
G_00339,Germany,3.0,3.0,1.0
G_00340,China,2.0,1.0,0.5
G_00341,Thailand,2.0,1.0,0.5
G_00342,Thailand,0.0,0.0,0.0
G_00343,Thailand,0.0,0.0,0.0
G_00344,Japan,1.0,1.0,1.0
G_00345,China,1.0,1.0,1.0
G_00346,Thailand,1.0,0.0,0.0
G_00347,Thailand,2.0,1.0,0.5
G_00348,Thailand,3.0,2.0,0.67
G_00349,China,1.0,0.0,0.0
G_00350,Japan,2.0,2.0,1.0
G_00351,Thailand,0.0,0.0,0.0
G_00352,Thailand,3.0,1.0,0.33
G_00353,Thailand,0.0,0.0,0.0
G_00354,Germany,0.0,0.0,0.0
G_00355,Thailand,1.0,0.0,0.0
G_00356,Japan,2.0,1.0,0.5
G_00357,China,1.0,1.0,1.0
G_00358,Thailand,1.0,0.0,0.0
G_00359,Thailand,1.0,0.0,0.0
G_00360,Thailand,3.0,3.0,1.0
G_00361,China,0.0,0.0,0.0
G_00362,Japan,0.0,0.0,0.0
G_00363,China,2.0,0.0,0.0
G_00364,UK,1.0,0.0,0.0
G_00365,Thailand,3.0,1.0,0.33
G_00366,Germany,3.0,2.0,0.67
G_00367,Japan,0.0,0.0,0.0
G_00368,Thailand,2.0,1.0,0.5
G_00369,Germany,1.0,1.0,1.0
G_00370,China,2.0,1.0,0.5
G_00371,UK,1.0,0.0,0.0
G_00372,China,3.0,1.0,0.33
G_00373,Japan,2.0,0.0,0.0
G_00374,China,1.0,0.0,0.0
G_00375,Thailand,1.0,0.0,0.0
G_00376,Thailand,1.0,1.0,1.0
G_00377,Germany,0.0,0.0,0.0
G_00378,Thailand,2.0,0.0,0.0
G_00379,Thailand,0.0,0.0,0.0
G_00380,USA,1.0,0.0,0.0
G_00381,USA,1.0,1.0,1.0
G_00382,China,1.0,0.0,0.0
G_00383,Germany,1.0,0.0,0.0
G_00384,Thailand,1.0,0.0,0.0
G_00385,Thailand,2.0,1.0,0.5
G_00386,Thailand,4.0,0.0,0.0
G_00387,Australia,2.0,0.0,0.0
G_00388,China,3.0,1.0,0.33
G_00389,Thailand,4.0,1.0,0.25
G_00390,Japan,3.0,0.0,0.0
G_00391,Australia,1.0,0.0,0.0
G_00392,Japan,0.0,0.0,0.0
G_00393,Germany,4.0,0.0,0.0
G_00394,Thailand,3.0,0.0,0.0
G_00395,Japan,1.0,0.0,0.0
G_00396,USA,0.0,0.0,0.0
G_00397,Japan,1.0,0.0,0.0
G_00398,China,2.0,0.0,0.0
G_00399,Japan,3.0,0.0,0.0
G_00400,China,1.0,0.0,0.0
G_00401,Thailand,1.0,0.0,0.0
G_00402,UK,3.0,1.0,0.33
G_00403,Germany,1.0,0.0,0.0
G_00404,Germany,1.0,0.0,0.0
G_00405,Thailand,1.0,0.0,0.0
G_00406,Thailand,0.0,0.0,0.0
G_00407,Thailand,1.0,1.0,1.0
G_00408,China,1.0,0.0,0.0
G_00409,Japan,3.0,1.0,0.33
G_00410,Thailand,1.0,0.0,0.0
G_00411,UK,2.0,1.0,0.5
G_00412,Japan,0.0,0.0,0.0
G_00413,China,1.0,0.0,0.0
G_00414,UK,1.0,1.0,1.0
G_00415,UK,0.0,0.0,0.0
G_00416,UK,1.0,0.0,0.0
G_00417,Thailand,4.0,0.0,0.0
G_00418,UK,0.0,0.0,0.0
G_00419,China,1.0,0.0,0.0
G_00420,Australia,2.0,0.0,0.0
G_00421,China,1.0,0.0,0.0
G_00422,Japan,3.0,1.0,0.33
G_00423,Thailand,2.0,0.0,0.0
G_00424,USA,1.0,0.0,0.0
G_00425,Thailand,2.0,0.0,0.0
G_00426,Thailand,0.0,0.0,0.0
G_00427,China,1.0,0.0,0.0
G_00428,Germany,2.0,0.0,0.0
G_00429,Thailand,1.0,0.0,0.0
G_00430,USA,1.0,0.0,0.0
G_00431,Japan,2.0,0.0,0.0
G_00432,Thailand,2.0,0.0,0.0
G_00433,UK,1.0,0.0,0.0
G_00434,China,3.0,0.0,0.0
G_00435,China,3.0,1.0,0.33
G_00436,Thailand,2.0,0.0,0.0
G_00437,Thailand,1.0,0.0,0.0
G_00438,Japan,1.0,0.0,0.0
G_00439,UK,2.0,1.0,0.5
G_00440,Thailand,2.0,0.0,0.0
G_00441,Japan,4.0,0.0,0.0
G_00442,Thailand,0.0,0.0,0.0
G_00443,China,0.0,0.0,0.0
G_00444,Thailand,0.0,0.0,0.0
G_00445,Germany,2.0,0.0,0.0
G_00446,Thailand,1.0,0.0,0.0
G_00447,Thailand,2.0,0.0,0.0
G_00448,Thailand,1.0,0.0,0.0
G_00449,Thailand,3.0,0.0,0.0
G_00450,Australia,2.0,0.0,0.0
G_00451,Germany,1.0,0.0,0.0
G_00452,Thailand,1.0,0.0,0.0
G_00453,USA,1.0,0.0,0.0
G_00454,China,2.0,1.0,0.5
G_00455,Australia,5.0,0.0,0.0
G_00456,UK,1.0,0.0,0.0
G_00457,Thailand,1.0,1.0,1.0
G_00458,USA,0.0,0.0,0.0
G_00459,China,3.0,0.0,0.0
G_00460,Thailand,1.0,0.0,0.0
G_00461,China,2.0,0.0,0.0
G_00462,Thailand,3.0,1.0,0.33
G_00463,Japan,3.0,1.0,0.33
G_00464,Thailand,1.0,0.0,0.0
G_00465,UK,3.0,0.0,0.0
G_00466,USA,1.0,0.0,0.0
G_00467,China,0.0,0.0,0.0
G_00468,Thailand,2.0,0.0,0.0
G_00469,UK,1.0,0.0,0.0
G_00470,UK,1.0,0.0,0.0
G_00471,UK,2.0,0.0,0.0
G_00472,China,2.0,0.0,0.0
G_00473,China,2.0,0.0,0.0
G_00474,Japan,1.0,0.0,0.0
G_00475,Thailand,3.0,0.0,0.0
G_00476,Japan,2.0,0.0,0.0
G_00477,USA,0.0,0.0,0.0
G_00478,Thailand,2.0,0.0,0.0
G_00479,Thailand,3.0,0.0,0.0
G_00480,Thailand,0.0,0.0,0.0
G_00481,Japan,2.0,1.0,0.5
G_00482,China,1.0,0.0,0.0
G_00483,Japan,1.0,0.0,0.0
G_00484,UK,1.0,0.0,0.0
G_00485,USA,3.0,2.0,0.67
G_00486,Thailand,1.0,0.0,0.0
G_00487,Thailand,2.0,0.0,0.0
G_00488,USA,0.0,0.0,0.0
G_00489,Thailand,3.0,1.0,0.33
G_00490,Thailand,1.0,0.0,0.0
G_00491,UK,3.0,2.0,0.67
G_00492,China,1.0,0.0,0.0
G_00493,Germany,2.0,0.0,0.0
G_00494,Germany,3.0,0.0,0.0
G_00495,China,1.0,0.0,0.0
G_00496,USA,0.0,0.0,0.0
G_00497,China,0.0,0.0,0.0
G_00498,Japan,3.0,0.0,0.0
G_00499,Thailand,3.0,0.0,0.0
G_00500,USA,1.0,0.0,0.0
G_00501,Japan,2.0,0.0,0.0
G_00502,Thailand,1.0,0.0,0.0
G_00503,UK,0.0,0.0,0.0
G_00504,UK,4.0,0.0,0.0
G_00505,Thailand,2.0,0.0,0.0
G_00506,Thailand,0.0,0.0,0.0
G_00507,Thailand,0.0,0.0,0.0
G_00508,Thailand,3.0,2.0,0.67
G_00509,Thailand,1.0,0.0,0.0
G_00510,Japan,1.0,0.0,0.0
G_00511,Thailand,1.0,0.0,0.0
G_00512,UK,2.0,0.0,0.0
G_00513,Thailand,4.0,1.0,0.25
G_00514,Germany,1.0,0.0,0.0
G_00515,Thailand,2.0,0.0,0.0
G_00516,USA,0.0,0.0,0.0
G_00517,Australia,1.0,0.0,0.0
G_00518,Japan,2.0,0.0,0.0
G_00519,Thailand,2.0,0.0,0.0
G_00520,Japan,0.0,0.0,0.0
G_00521,USA,3.0,1.0,0.33
G_00522,USA,5.0,0.0,0.0
G_00523,Thailand,2.0,0.0,0.0
G_00524,Thailand,0.0,0.0,0.0
G_00525,China,0.0,0.0,0.0
G_00526,USA,1.0,0.0,0.0
G_00527,USA,1.0,0.0,0.0
G_00528,China,0.0,0.0,0.0
G_00529,Japan,0.0,0.0,0.0
G_00530,Thailand,1.0,1.0,1.0
G_00531,China,1.0,0.0,0.0
G_00532,Thailand,1.0,0.0,0.0
G_00533,Japan,1.0,1.0,1.0
G_00534,China,3.0,0.0,0.0
G_00535,Germany,1.0,0.0,0.0
G_00536,Thailand,2.0,0.0,0.0
G_00537,Thailand,0.0,0.0,0.0
G_00538,Thailand,1.0,0.0,0.0
G_00539,Thailand,3.0,0.0,0.0
G_00540,Thailand,1.0,0.0,0.0
G_00541,Germany,2.0,0.0,0.0
G_00542,Thailand,3.0,1.0,0.33
G_00543,Thailand,4.0,0.0,0.0
G_00544,Japan,2.0,0.0,0.0
G_00545,USA,2.0,1.0,0.5
G_00546,Japan,0.0,0.0,0.0
G_00547,Thailand,0.0,0.0,0.0
G_00548,USA,1.0,0.0,0.0
G_00549,Thailand,0.0,0.0,0.0
G_00550,Thailand,1.0,0.0,0.0
G_00551,Germany,2.0,0.0,0.0
G_00552,Thailand,1.0,0.0,0.0
G_00553,UK,1.0,0.0,0.0
G_00554,USA,3.0,1.0,0.33
G_00555,Thailand,1.0,0.0,0.0
G_00556,Australia,1.0,0.0,0.0
G_00557,Thailand,0.0,0.0,0.0
G_00558,China,2.0,0.0,0.0
G_00559,Germany,0.0,0.0,0.0
G_00560,UK,0.0,0.0,0.0
G_00561,Germany,0.0,0.0,0.0
G_00562,Thailand,1.0,0.0,0.0
G_00563,USA,3.0,0.0,0.0
G_00564,Thailand,3.0,1.0,0.33
G_00565,China,3.0,0.0,0.0
G_00566,Germany,1.0,0.0,0.0
G_00567,Thailand,3.0,0.0,0.0
G_00568,China,2.0,1.0,0.5
G_00569,Thailand,1.0,0.0,0.0
G_00570,UK,2.0,1.0,0.5
G_00571,USA,2.0,0.0,0.0
G_00572,Germany,1.0,0.0,0.0
G_00573,China,1.0,0.0,0.0
G_00574,Thailand,5.0,0.0,0.0
G_00575,Thailand,0.0,0.0,0.0
G_00576,Thailand,3.0,0.0,0.0
G_00577,Thailand,3.0,1.0,0.33
G_00578,Thailand,1.0,0.0,0.0
G_00579,Australia,1.0,0.0,0.0
G_00580,UK,4.0,0.0,0.0
G_00581,UK,4.0,0.0,0.0
G_00582,Thailand,2.0,0.0,0.0
G_00583,Australia,0.0,0.0,0.0
G_00584,China,2.0,2.0,1.0
G_00585,Thailand,2.0,0.0,0.0
G_00586,China,2.0,0.0,0.0
G_00587,UK,3.0,1.0,0.33
G_00588,Thailand,0.0,0.0,0.0
G_00589,USA,0.0,0.0,0.0
G_00590,USA,1.0,0.0,0.0
G_00591,Thailand,1.0,0.0,0.0
G_00592,Germany,3.0,1.0,0.33
G_00593,Japan,1.0,0.0,0.0
G_00594,China,1.0,0.0,0.0
G_00595,USA,0.0,0.0,0.0
G_00596,USA,0.0,0.0,0.0
G_00597,China,1.0,0.0,0.0
G_00598,UK,2.0,0.0,0.0
G_00599,Thailand,3.0,1.0,0.33
G_00600,UK,1.0,0.0,0.0
G_00601,Japan,1.0,0.0,0.0
G_00602,USA,4.0,0.0,0.0
G_00603,Thailand,2.0,0.0,0.0
G_00604,Japan,2.0,0.0,0.0
G_00605,Thailand,1.0,0.0,0.0
G_00606,Thailand,1.0,0.0,0.0
G_00607,Thailand,0.0,0.0,0.0
G_00608,Thailand,0.0,0.0,0.0
G_00609,Japan,6.0,0.0,0.0
G_00610,UK,3.0,0.0,0.0
G_00611,Thailand,2.0,1.0,0.5
G_00612,Australia,6.0,1.0,0.17
G_00613,Australia,0.0,0.0,0.0
G_00614,Australia,2.0,2.0,1.0
G_00615,Thailand,1.0,0.0,0.0
G_00616,USA,2.0,0.0,0.0
G_00617,Germany,0.0,0.0,0.0
G_00618,Japan,3.0,0.0,0.0
G_00619,Thailand,3.0,0.0,0.0
G_00620,Thailand,2.0,0.0,0.0
G_00621,USA,1.0,0.0,0.0
G_00622,Germany,3.0,0.0,0.0
G_00623,UK,0.0,0.0,0.0
G_00624,USA,1.0,0.0,0.0
G_00625,Thailand,0.0,0.0,0.0
G_00626,China,2.0,0.0,0.0
G_00627,Japan,3.0,1.0,0.33
G_00628,Thailand,1.0,0.0,0.0
G_00629,Japan,1.0,0.0,0.0
G_00630,Germany,1.0,0.0,0.0
G_00631,Thailand,4.0,0.0,0.0
G_00632,UK,2.0,1.0,0.5
G_00633,Thailand,3.0,0.0,0.0
G_00634,Japan,1.0,0.0,0.0
G_00635,UK,2.0,0.0,0.0
G_00636,China,1.0,0.0,0.0
G_00637,Japan,0.0,0.0,0.0
G_00638,Thailand,2.0,0.0,0.0
G_00639,Germany,1.0,0.0,0.0
G_00640,UK,2.0,0.0,0.0
G_00641,Thailand,0.0,0.0,0.0
G_00642,China,4.0,1.0,0.25
G_00643,Japan,1.0,0.0,0.0
G_00644,Thailand,2.0,0.0,0.0
G_00645,Australia,1.0,1.0,1.0
G_00646,Germany,0.0,0.0,0.0
G_00647,Thailand,1.0,1.0,1.0
G_00648,Germany,3.0,1.0,0.33
G_00649,Thailand,1.0,0.0,0.0
G_00650,Thailand,1.0,1.0,1.0
G_00651,Thailand,2.0,0.0,0.0
G_00652,Australia,2.0,0.0,0.0
G_00653,China,3.0,1.0,0.33
G_00654,Thailand,3.0,1.0,0.33
G_00655,USA,1.0,0.0,0.0
G_00656,China,2.0,0.0,0.0
G_00657,Thailand,0.0,0.0,0.0
G_00658,Australia,0.0,0.0,0.0
G_00659,Japan,0.0,0.0,0.0
G_00660,UK,0.0,0.0,0.0
G_00661,Germany,1.0,0.0,0.0
G_00662,USA,0.0,0.0,0.0
G_00663,Germany,3.0,0.0,0.0
G_00664,China,2.0,0.0,0.0
G_00665,China,2.0,0.0,0.0
G_00666,Thailand,0.0,0.0,0.0
