booking_id,guest_id,booking_date,check_in_date,lead_time_days,length_of_stay,channel_id,policy_id,status,cancellation_date,cancellation_reason_code,adr_usd,gross_revenue_usd,deposit_paid_usd,penalty_charged_usd
BKG_000040,GST_01413,2024-08-11,2024-10-04,54,7,CH_02,POL_02,Cancelled,2024-09-26,RSN_02,328.99,2302.93,0.0,0.0
BKG_000041,GST_01874,2024-02-19,2024-02-27,8,2,CH_01,POL_01,Cancelled,2024-02-21,RSN_03,142.93,285.86,0.0,0.0
BKG_000042,GST_00973,2024-12-26,2024-12-29,3,10,CH_03,POL_05,Cancelled,2024-12-28,RSN_02,153.79,1537.9,0.0,1537.9
BKG_000043,GST_02382,2024-12-14,2024-12-29,15,3,CH_05,POL_02,Checked-In,,,129.1,387.3,0.0,0.0
BKG_000044,GST_00392,2024-12-12,2024-12-18,6,1,CH_03,POL_03,Checked-In,,,193.99,193.99,193.99,0.0
BKG_000045,GST_00757,2024-01-22,2024-01-27,5,5,CH_03,POL_03,Checked-In,,,164.22,821.1,821.1,0.0
BKG_000046,GST_00130,2024-05-11,2024-06-02,22,2,CH_03,POL_05,Cancelled,2024-05-26,RSN_01,361.45,722.9,0.0,722.9
BKG_000047,GST_01512,2025-03-01,2025-03-06,5,1,CH_05,POL_04,Cancelled,2025-03-05,RSN_01,125.31,125.31,37.59,62.66
BKG_000048,GST_02375,2024-04-06,2024-05-01,25,2,CH_01,POL_01,Cancelled,2024-04-25,RSN_04,271.97,543.94,0.0,0.0
BKG_000049,GST_02366,2025-04-08,2025-04-14,6,5,CH_01,POL_02,Checked-In,,,269.75,1348.75,0.0,0.0
BKG_000050,GST_00171,2024-10-21,2024-11-24,34,6,CH_04,POL_03,Checked-In,,,246.89,1481.34,1481.34,0.0
BKG_000051,GST_01859,2024-03-11,2024-03-25,14,14,CH_04,POL_02,Checked-In,,,347.88,4870.32,0.0,0.0
BKG_000052,GST_00052,2024-12-28,2025-01-04,7,3,CH_05,POL_02,No-Show,,RSN_06,124.2,372.6,0.0,298.08
BKG_000053,GST_02008,2025-02-14,2025-02-15,1,2,CH_01,POL_01,Checked-In,,,143.58,287.16,0.0,0.0
BKG_000054,GST_00951,2024-10-12,2024-10-24,12,10,CH_05,POL_04,Checked-In,,,306.8,3068.0,920.4,0.0
BKG_000055,GST_02160,2025-02-05,2025-02-13,8,2,CH_02,POL_01,Cancelled,2025-02-07,RSN_01,113.07,226.14,0.0,0.0
BKG_000056,GST_01506,2024-04-23,2024-04-28,5,5,CH_03,POL_01,No-Show,,RSN_06,161.35,806.75,0.0,645.4
BKG_000057,GST_01973,2025-05-06,2025-05-18,12,3,CH_01,POL_01,Cancelled,2025-05-17,RSN_05,237.23,711.69,0.0,711.69
BKG_000058,GST_02156,2024-06-10,2024-06-20,10,2,CH_03,POL_01,Checked-In,,,125.24,250.48,0.0,0.0
BKG_000059,GST_00125,2024-03-21,2024-04-04,14,5,CH_04,POL_03,Checked-In,,,227.7,1138.5,1138.5,0.0
BKG_000060,GST_01222,2024-07-29,2024-08-08,10,3,CH_01,POL_01,No-Show,,RSN_06,337.48,1012.44,0.0,809.95
BKG_000061,GST_00548,2024-08-06,2024-10-05,60,1,CH_04,POL_02,No-Show,,RSN_06,201.34,201.34,0.0,161.07
BKG_000062,GST_01358,2024-06-02,2024-07-02,30,4,CH_03,POL_03,Checked-In,,,281.34,1125.36,1125.36,0.0
BKG_000063,GST_02080,2024-10-13,2024-11-16,34,1,CH_02,POL_02,Cancelled,2024-11-10,RSN_03,193.72,193.72,0.0,0.0
BKG_000064,GST_01764,2024-05-05,2024-05-11,6,3,CH_06,POL_04,Checked-In,,,365.09,1095.27,328.58,0.0
BKG_000065,GST_00720,2024-02-01,2024-02-11,10,5,CH_01,POL_02,Cancelled,2024-02-02,RSN_02,166.62,833.1,0.0,0.0
BKG_000066,GST_02492,2025-05-26,2025-06-19,24,2,CH_01,POL_02,Checked-In,,,184.44,368.88,0.0,0.0
BKG_000067,GST_00429,2024-12-09,2024-12-13,4,2,CH_01,POL_05,Checked-In,,,210.64,421.28,0.0,0.0
BKG_000068,GST_01342,2024-12-02,2024-12-06,4,3,CH_03,POL_04,Checked-In,,,199.82,599.46,179.84,0.0
BKG_000069,GST_00925,2024-05-31,2024-06-02,2,6,CH_04,POL_03,Checked-In,,,147.78,886.68,886.68,0.0
BKG_000070,GST_00157,2024-05-11,2024-07-11,61,4,CH_03,POL_05,Checked-In,,,149.41,597.64,0.0,0.0
BKG_000071,GST_00997,2024-09-03,2024-10-01,28,7,CH_02,POL_02,No-Show,,RSN_06,200.11,1400.77,0.0,1120.62
BKG_000072,GST_01717,2024-05-10,2024-05-19,9,7,CH_03,POL_04,Cancelled,2024-05-15,RSN_05,189.53,1326.71,398.01,0.0
BKG_000073,GST_01332,2024-02-15,2024-03-14,28,5,CH_05,POL_02,Checked-In,,,188.51,942.55,0.0,0.0
BKG_000074,GST_00144,2025-03-17,2025-04-13,27,3,CH_03,POL_03,Checked-In,,,180.36,541.08,541.08,0.0
BKG_000075,GST_01358,2024-07-17,2024-07-31,14,1,CH_02,POL_01,Checked-In,,,186.86,186.86,0.0,0.0
BKG_000076,GST_01538,2025-02-01,2025-03-06,33,2,CH_06,POL_03,Checked-In,,,263.78,527.56,527.56,0.0
BKG_000077,GST_02330,2025-04-01,2025-04-10,9,2,CH_02,POL_01,Cancelled,2025-04-01,RSN_02,311.38,622.76,0.0,0.0
BKG_000078,GST_01536,2024-03-18,2024-04-05,18,2,CH_03,POL_01,Cancelled,2024-03-30,RSN_05,112.23,224.46,0.0,0.0
BKG_000079,GST_01758,2025-01-07,2025-01-18,11,3,CH_05,POL_02,Cancelled,2025-01-09,RSN_05,114.18,342.54,0.0,0.0
BKG_000080,GST_00143,2024-07-10,2024-08-15,36,4,CH_04,POL_02,Checked-In,,,157.35,629.4,0.0,0.0
BKG_000081,GST_01178,2025-02-08,2025-03-08,28,5,CH_03,POL_05,Cancelled,2025-02-28,RSN_03,178.96,894.8,0.0,0.0
BKG_000082,GST_01830,2024-12-29,2024-12-31,2,3,CH_05,POL_01,Cancelled,2024-12-30,RSN_01,380.06,1140.18,0.0,1140.18
BKG_000083,GST_00866,2024-04-15,2024-05-10,25,6,CH_03,POL_01,Checked-In,,,274.71,1648.26,0.0,0.0
BKG_000084,GST_00774,2025-01-26,2025-02-03,8,3,CH_01,POL_01,Checked-In,,,155.5,466.5,0.0,0.0
BKG_000085,GST_00740,2025-04-13,2025-05-16,33,2,CH_01,POL_02,Cancelled,2025-05-06,RSN_03,198.18,396.36,0.0,0.0
BKG_000086,GST_01330,2025-04-22,2025-06-16,55,7,CH_02,POL_02,Cancelled,2025-05-20,RSN_02,89.91,629.37,0.0,0.0
BKG_000087,GST_01470,2025-01-12,2025-01-14,2,4,CH_01,POL_01,Cancelled,2025-01-13,RSN_02,171.06,684.24,0.0,684.24
BKG_000088,GST_02087,2025-03-18,2025-04-18,31,5,CH_02,POL_04,Checked-In,,,148.95,744.75,223.42,0.0
BKG_000089,GST_01017,2024-06-28,2024-07-08,10,14,CH_02,POL_04,Checked-In,,,194.74,2726.36,817.91,0.0
BKG_000090,GST_00343,2025-04-21,2025-05-17,26,3,CH_06,POL_02,Checked-In,,,204.8,614.4,0.0,0.0
BKG_000091,GST_00596,2025-03-10,2025-03-28,18,3,CH_02,POL_02,Checked-In,,,179.04,537.12,0.0,0.0
BKG_000092,GST_00343,2025-03-11,2025-06-09,90,6,CH_03,POL_03,Checked-In,,,219.65,1317.9,1317.9,0.0
BKG_000093,GST_02258,2024-10-01,2024-10-06,5,2,CH_01,POL_01,Checked-In,,,121.65,243.3,0.0,0.0
BKG_000094,GST_01554,2024-02-26,2024-03-13,16,1,CH_01,POL_01,Checked-In,,,219.13,219.13,0.0,0.0
BKG_000095,GST_01274,2024-09-11,2024-09-14,3,1,CH_06,POL_03,Checked-In,,,111.68,111.68,111.68,0.0
BKG_000096,GST_00997,2024-10-08,2024-11-16,39,2,CH_01,POL_03,Checked-In,,,135.7,271.4,271.4,0.0
BKG_000097,GST_01421,2025-05-31,2025-06-05,5,4,CH_01,POL_01,Cancelled,2025-06-01,RSN_02,208.61,834.44,0.0,0.0
BKG_000098,GST_00255,2024-05-22,2024-05-27,5,5,CH_02,POL_01,Cancelled,2024-05-25,RSN_02,90.89,454.45,0.0,454.45
BKG_000099,GST_02285,2024-08-06,2024-09-13,38,2,CH_06,POL_03,No-Show,,RSN_06,306.42,612.84,612.84,612.84
BKG_000100,GST_00874,2025-02-12,2025-02-13,1,2,CH_02,POL_01,Checked-In,,,188.82,377.64,0.0,0.0
BKG_000101,GST_00284,2024-11-07,2024-11-10,3,10,CH_01,POL_02,Checked-In,,,329.48,3294.8,0.0,0.0
BKG_000102,GST_01066,2025-02-25,2025-03-04,7,2,CH_03,POL_04,Cancelled,2025-02-26,RSN_04,135.3,270.6,81.18,0.0
BKG_000103,GST_01797,2024-08-08,2024-08-18,10,2,CH_02,POL_05,Cancelled,2024-08-08,RSN_02,301.15,602.3,0.0,0.0
BKG_000104,GST_01444,2024-04-10,2024-04-22,12,6,CH_01,POL_05,Checked-In,,,168.08,1008.48,0.0,0.0
BKG_000105,GST_00105,2025-02-28,2025-03-03,3,2,CH_01,POL_05,Checked-In,,,158.1,316.2,0.0,0.0
BKG_000106,GST_02416,2024-09-07,2024-09-09,2,3,CH_05,POL_01,Cancelled,2024-09-08,RSN_04,259.48,778.44,0.0,778.44
BKG_000107,GST_00969,2024-07-17,2024-07-23,6,7,CH_01,POL_04,Checked-In,,,282.59,1978.13,593.44,0.0
BKG_000108,GST_01075,2025-01-14,2025-01-23,9,3,CH_03,POL_03,Cancelled,2025-01-18,RSN_04,159.64,478.92,478.92,478.92
BKG_000109,GST_01138,2025-05-17,2025-05-29,12,1,CH_01,POL_03,Checked-In,,,139.59,139.59,139.59,0.0
BKG_000110,GST_00207,2024-05-30,2024-08-10,72,3,CH_01,POL_02,Cancelled,2024-07-27,RSN_01,178.56,535.68,0.0,0.0
BKG_000111,GST_00868,2025-04-12,2025-05-13,31,3,CH_01,POL_01,Checked-In,,,333.78,1001.34,0.0,0.0
BKG_000112,GST_02373,2024-02-24,2024-05-23,89,3,CH_01,POL_04,Checked-In,,,271.61,814.83,244.45,0.0
BKG_000113,GST_01468,2024-05-07,2024-05-09,2,1,CH_04,POL_02,Checked-In,,,90.63,90.63,0.0,0.0
BKG_000114,GST_01169,2024-03-09,2024-03-10,1,2,CH_02,POL_05,Cancelled,2024-03-09,RSN_03,224.81,449.62,0.0,449.62
BKG_000115,GST_00446,2024-08-08,2024-09-09,32,14,CH_01,POL_02,Cancelled,2024-08-24,RSN_06,292.0,4088.0,0.0,0.0
BKG_000116,GST_00080,2024-08-25,2024-09-09,15,3,CH_01,POL_05,Checked-In,,,236.55,709.65,0.0,0.0
BKG_000117,GST_01734,2024-02-26,2024-03-04,7,3,CH_06,POL_01,Checked-In,,,102.29,306.87,0.0,0.0
BKG_000118,GST_01177,2024-08-24,2024-09-08,15,2,CH_02,POL_01,Checked-In,,,375.07,750.14,0.0,0.0
BKG_000119,GST_02007,2024-07-16,2024-07-25,9,3,CH_05,POL_01,Cancelled,2024-07-24,RSN_01,336.06,1008.18,0.0,1008.18
BKG_000120,GST_02090,2024-11-10,2024-11-26,16,1,CH_01,POL_02,Cancelled,2024-11-10,RSN_02,277.95,277.95,0.0,0.0
BKG_000121,GST_01105,2025-02-27,2025-03-03,4,10,CH_05,POL_02,Checked-In,,,141.36,1413.6,0.0,0.0
BKG_000122,GST_00307,2024-01-14,2024-01-22,8,1,CH_03,POL_01,Cancelled,2024-01-21,RSN_05,300.64,300.64,0.0,300.64
BKG_000123,GST_01312,2024-09-08,2024-09-14,6,1,CH_02,POL_02,Cancelled,2024-09-09,RSN_01,188.38,188.38,0.0,0.0
BKG_000124,GST_02157,2024-02-16,2024-02-20,4,2,CH_01,POL_02,Cancelled,2024-02-17,RSN_03,101.49,202.98,0.0,0.0
BKG_000125,GST_01969,2024-03-22,2024-05-02,41,3,CH_03,POL_02,Checked-In,,,203.63,610.89,0.0,0.0
BKG_000126,GST_02441,2025-05-08,2025-05-11,3,3,CH_03,POL_03,Checked-In,,,336.72,1010.16,1010.16,0.0
BKG_000127,GST_00960,2025-02-12,2025-03-28,44,1,CH_01,POL_01,Checked-In,,,142.19,142.19,0.0,0.0
BKG_000128,GST_00068,2025-04-07,2025-04-17,10,2,CH_02,POL_02,Checked-In,,,131.91,263.82,0.0,0.0
BKG_000129,GST_01382,2025-01-14,2025-03-29,74,3,CH_02,POL_02,No-Show,,RSN_06,159.76,479.28,0.0,383.42
BKG_000130,GST_00318,2025-04-23,2025-05-31,38,2,CH_02,POL_01,Checked-In,,,380.99,761.98,0.0,0.0
BKG_000131,GST_00418,2024-03-18,2024-04-21,34,3,CH_02,POL_05,Cancelled,2024-04-18,RSN_02,123.35,370.05,0.0,370.05
BKG_000132,GST_00657,2024-09-25,2024-10-11,16,1,CH_01,POL_01,Checked-In,,,191.01,191.01,0.0,0.0
BKG_000133,GST_01994,2024-10-03,2024-10-13,10,10,CH_06,POL_04,Checked-In,,,108.21,1082.1,324.63,0.0
BKG_000134,GST_00310,2025-04-23,2025-04-30,7,3,CH_01,POL_03,Checked-In,,,254.01,762.03,762.03,0.0
BKG_000135,GST_01444,2024-08-28,2024-08-30,2,4,CH_01,POL_02,Checked-In,,,267.21,1068.84,0.0,0.0
BKG_000136,GST_01391,2024-04-16,2024-05-20,34,2,CH_02,POL_04,Checked-In,,,346.59,693.18,207.95,0.0
BKG_000137,GST_01833,2025-05-07,2025-05-26,19,7,CH_01,POL_04,Checked-In,,,154.16,1079.12,323.74,0.0
BKG_000138,GST_00259,2025-05-31,2025-06-15,15,4,CH_01,POL_02,Cancelled,2025-06-14,RSN_02,220.05,880.2,0.0,880.2
BKG_000139,GST_01090,2024-03-10,2024-03-15,5,3,CH_02,POL_01,Checked-In,,,115.99,347.97,0.0,0.0
BKG_000140,GST_01581,2025-01-29,2025-02-02,4,2,CH_03,POL_02,Cancelled,2025-01-31,RSN_01,274.64,549.28,0.0,0.0
BKG_000141,GST_01608,2024-02-18,2024-03-10,21,3,CH_03,POL_01,Checked-In,,,141.22,423.66,0.0,0.0
BKG_000142,GST_00479,2024-10-26,2024-11-27,32,1,CH_01,POL_01,Cancelled,2024-11-12,RSN_01,222.61,222.61,0.0,0.0
BKG_000143,GST_01116,2024-06-29,2024-07-02,3,5,CH_03,POL_02,Checked-In,,,139.36,696.8,0.0,0.0
BKG_000144,GST_01450,2024-07-05,2024-07-15,10,7,CH_03,POL_04,Checked-In,,,110.38,772.66,231.8,0.0
BKG_000145,GST_01929,2024-12-14,2025-01-23,40,1,CH_02,POL_02,Cancelled,2024-12-27,RSN_06,242.78,242.78,0.0,0.0
BKG_000146,GST_01227,2025-02-14,2025-02-20,6,3,CH_02,POL_01,Checked-In,,,263.86,791.58,0.0,0.0
BKG_000147,GST_02171,2025-03-22,2025-03-25,3,4,CH_06,POL_05,Checked-In,,,90.79,363.16,0.0,0.0
BKG_000148,GST_01075,2024-07-28,2024-07-30,2,3,CH_05,POL_04,Checked-In,,,291.75,875.25,262.57,0.0
BKG_000149,GST_02058,2024-04-23,2024-05-01,8,3,CH_01,POL_05,Checked-In,,,209.02,627.06,0.0,0.0
BKG_000150,GST_01006,2024-08-05,2024-08-28,23,4,CH_03,POL_02,Checked-In,,,113.82,455.28,0.0,0.0
BKG_000151,GST_00123,2024-09-13,2024-09-14,1,1,CH_03,POL_05,No-Show,,RSN_06,234.71,234.71,0.0,187.77
BKG_000152,GST_00438,2024-06-03,2024-07-08,35,2,CH_02,POL_04,Cancelled,2024-06-18,RSN_01,145.66,291.32,87.4,0.0
BKG_000153,GST_00200,2025-01-05,2025-01-25,20,1,CH_04,POL_03,Checked-In,,,275.67,275.67,275.67,0.0
BKG_000154,GST_00605,2024-09-27,2024-10-21,24,5,CH_04,POL_04,Checked-In,,,188.31,941.55,282.46,0.0
BKG_000155,GST_00839,2025-02-10,2025-02-21,11,1,CH_03,POL_01,Checked-In,,,349.55,349.55,0.0,0.0
BKG_000156,GST_01097,2024-09-05,2024-09-24,19,2,CH_01,POL_03,Checked-In,,,236.8,473.6,473.6,0.0
BKG_000157,GST_00727,2024-08-08,2024-08-31,23,2,CH_02,POL_01,Checked-In,,,288.83,577.66,0.0,0.0
BKG_000158,GST_01909,2024-05-08,2024-05-10,2,3,CH_02,POL_02,Checked-In,,,167.03,501.09,0.0,0.0
BKG_000159,GST_00565,2025-05-20,2025-06-11,22,5,CH_03,POL_03,Cancelled,2025-06-10,RSN_02,160.98,804.9,804.9,804.9
BKG_000160,GST_02165,2025-04-22,2025-04-27,5,5,CH_04,POL_02,Checked-In,,,102.28,511.4,0.0,0.0
BKG_000161,GST_02497,2025-05-25,2025-06-30,51,10,CH_01,POL_01,Cancelled,2025-05-25,RSN_03,148.41,1484.1,0.0,0.0
BKG_000162,GST_01803,2024-04-24,2024-06-12,49,7,CH_01,POL_01,No-Show,,RSN_06,324.66,2272.62,0.0,1818.1
BKG_000163,GST_02226,2024-08-02,2024-09-07,36,3,CH_01,POL_04,Checked-In,,,369.35,1108.05,332.41,0.0
BKG_000164,GST_01001,2025-03-30,2025-04-05,6,3,CH_03,POL_01,Checked-In,,,227.31,681.93,0.0,0.0
BKG_000165,GST_00547,2024-04-21,2024-05-26,35,2,CH_03,POL_03,Checked-In,,,119.85,239.7,239.7,0.0
BKG_000166,GST_00307,2024-04-18,2024-04-23,5,1,CH_01,POL_05,Cancelled,2024-04-19,RSN_02,175.6,175.6,0.0,175.6
BKG_000167,GST_01045,2025-01-18,2025-01-20,2,1,CH_01,POL_01,Checked-In,,,217.84,217.84,0.0,0.0
BKG_000168,GST_01267,2024-03-13,2024-03-25,12,2,CH_01,POL_01,Checked-In,,,265.13,530.26,0.0,0.0
BKG_000169,GST_01978,2025-05-09,2025-06-22,44,2,CH_01,POL_04,Cancelled,2025-05-31,RSN_01,221.16,442.32,132.7,0.0
BKG_000170,GST_01036,2025-01-23,2025-02-21,29,7,CH_06,POL_02,Cancelled,2025-02-13,RSN_01,279.11,1953.77,0.0,0.0
BKG_000171,GST_02057,2024-01-29,2024-02-19,21,4,CH_01,POL_03,Checked-In,,,181.34,725.36,725.36,0.0
BKG_000172,GST_02130,2025-03-16,2025-03-19,3,6,CH_06,POL_05,Cancelled,2025-03-18,RSN_03,126.97,761.82,0.0,761.82
BKG_000173,GST_02303,2024-04-21,2024-07-20,90,2,CH_01,POL_03,No-Show,,RSN_06,360.0,720.0,720.0,720.0
BKG_000174,GST_00812,2024-04-07,2024-05-09,32,1,CH_06,POL_05,Checked-In,,,160.84,160.84,0.0,0.0
BKG_000175,GST_00542,2024-04-23,2024-04-30,7,5,CH_02,POL_01,Checked-In,,,344.97,1724.85,0.0,0.0
BKG_000176,GST_00430,2024-05-20,2024-07-07,48,1,CH_01,POL_01,Checked-In,,,283.41,283.41,0.0,0.0
BKG_000177,GST_00031,2024-02-16,2024-04-09,53,3,CH_05,POL_02,Cancelled,2024-03-30,RSN_02,277.61,832.83,0.0,0.0
BKG_000178,GST_02334,2024-03-11,2024-03-14,3,3,CH_01,POL_01,Cancelled,2024-03-12,RSN_02,311.91,935.73,0.0,935.73
BKG_000179,GST_02033,2025-04-28,2025-05-17,19,4,CH_02,POL_01,Checked-In,,,92.95,371.8,0.0,0.0
BKG_000180,GST_00278,2025-05-05,2025-06-01,27,2,CH_02,POL_01,No-Show,,RSN_06,340.92,681.84,0.0,545.47
BKG_000181,GST_00281,2024-10-01,2024-10-12,11,5,CH_01,POL_01,Checked-In,,,262.22,1311.1,0.0,0.0
BKG_000182,GST_00702,2024-03-23,2024-04-07,15,1,CH_02,POL_04,Checked-In,,,305.47,305.47,91.64,0.0
BKG_000183,GST_00367,2024-03-12,2024-03-18,6,4,CH_05,POL_02,Checked-In,,,314.09,1256.36,0.0,0.0
BKG_000184,GST_01643,2024-01-18,2024-01-23,5,4,CH_02,POL_05,Checked-In,,,211.19,844.76,0.0,0.0
BKG_000185,GST_02470,2025-01-03,2025-03-05,61,7,CH_01,POL_02,Cancelled,2025-03-04,RSN_01,247.06,1729.42,0.0,1729.42
BKG_000186,GST_02118,2024-05-29,2024-06-11,13,3,CH_06,POL_04,Cancelled,2024-06-09,RSN_06,203.26,609.78,182.93,304.89
BKG_000187,GST_00725,2024-08-20,2024-08-25,5,2,CH_01,POL_02,Cancelled,2024-08-20,RSN_01,365.27,730.54,0.0,0.0
BKG_000188,GST_02179,2025-03-18,2025-04-09,22,2,CH_03,POL_01,No-Show,,RSN_06,127.19,254.38,0.0,203.5
BKG_000189,GST_00133,2024-04-30,2024-05-26,26,5,CH_03,POL_03,Checked-In,,,111.35,556.75,556.75,0.0
BKG_000190,GST_01154,2024-10-19,2024-10-25,6,14,CH_02,POL_04,Checked-In,,,137.26,1921.64,576.49,0.0
BKG_000191,GST_00931,2025-05-10,2025-05-17,7,3,CH_01,POL_01,Cancelled,2025-05-14,RSN_02,374.79,1124.37,0.0,0.0
BKG_000192,GST_01239,2024-06-14,2024-07-24,40,3,CH_06,POL_04,Checked-In,,,88.51,265.53,79.66,0.0
BKG_000193,GST_01461,2024-11-18,2024-12-09,21,6,CH_03,POL_01,Checked-In,,,307.93,1847.58,0.0,0.0
BKG_000194,GST_00379,2024-07-16,2024-07-31,15,1,CH_01,POL_03,Checked-In,,,172.2,172.2,172.2,0.0
BKG_000195,GST_00899,2024-03-16,2024-04-19,34,2,CH_03,POL_05,Checked-In,,,334.04,668.08,0.0,0.0
BKG_000196,GST_01093,2024-12-12,2024-12-16,4,3,CH_03,POL_03,Checked-In,,,339.3,1017.9,1017.9,0.0
BKG_000197,GST_00031,2024-12-08,2024-12-14,6,4,CH_01,POL_01,Cancelled,2024-12-08,RSN_06,189.48,757.92,0.0,0.0
BKG_000198,GST_01044,2024-09-11,2024-10-16,35,4,CH_01,POL_04,Checked-In,,,167.33,669.32,200.8,0.0
BKG_000199,GST_01347,2025-05-27,2025-05-31,4,6,CH_03,POL_01,No-Show,,RSN_06,241.95,1451.7,0.0,1161.36
