booking_id,guest_id,booking_date,check_in_date,check_out_date,room_type_id,rate_code_id,channel_id,segment_id,policy_id,status,total_room_revenue,number_of_rooms,adults_count,children_count,cancellation_date,cancellation_reason_code,gross_revenue,gross_room_revenue,commission_amount,net_room_revenue,penalty_charged,deposit_paid
BKG_000017,G_04505,2023-09-04,2024-02-03,2024-02-04,RT_DLX,RC_NONREF,CH_CORP,Group,POL_48H,Checked-In,2850.0,1,1,2,,,2850.0,2850.0,0.0,2850.0,0.0,0.0
BKG_000018,G_04181,2023-09-05,2024-02-28,2024-03-13,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Checked-In,29750.0,1,2,0,,,29750.0,29750.0,0.0,29750.0,0.0,1.0
BKG_000019,G_00849,2023-09-06,2024-03-22,2024-04-01,RT_STD,RC_RACK,CH_BKG,Leisure,POL_48H,Checked-In,25000.0,1,1,1,,,25000.0,25000.0,3750.0,21250.0,0.0,0.0
BKG_000020,G_02130,2023-09-11,2024-02-23,2024-02-26,RT_STD,RC_PROMO,CH_EXP,Group,POL_48H,Checked-In,6375.0,1,1,1,,,6375.0,6375.0,1147.5,5227.5,0.0,0.0
BKG_000021,G_05493,2023-09-13,2024-02-05,2024-02-19,RT_STD,RC_NONREF,CH_BKG,Leisure,POL_48H,Checked-In,26250.0,1,1,0,,,26250.0,26250.0,3937.5,22312.5,0.0,0.0
BKG_000022,G_00731,2023-09-16,2024-03-25,2024-04-05,RT_STD,RC_PROMO,CH_BKG,Leisure,POL_FLEX,Cancelled,0.0,1,1,1,2023-11-10,RSN_01,23375.0,0.0,0.0,0.0,0.0,0.0
BKG_000023,G_04342,2023-09-17,2024-02-05,2024-02-17,RT_SUI,RC_NONREF,CH_BKG,Leisure,POL_FLEX,Cancelled,0.0,1,1,0,2024-01-14,RSN_01,67500.0,0.0,0.0,0.0,0.0,0.0
BKG_000024,G_04516,2023-09-19,2024-02-24,2024-03-08,RT_DLX,RC_PROMO,CH_BKG,Leisure,POL_FLEX,Cancelled,0.0,1,2,0,2023-11-23,RSN_01,41990.0,0.0,0.0,0.0,0.0,0.0
BKG_000025,G_02544,2023-09-20,2024-03-01,2024-03-05,RT_STD,RC_NONREF,CH_EXP,Leisure,POL_NONREF,Checked-In,7500.0,1,1,0,,,7500.0,7500.0,1350.0,6150.0,0.0,1.0
BKG_000026,G_00677,2023-09-20,2024-03-04,2024-03-07,RT_STD,RC_RACK,CH_BKG,Leisure,POL_FLEX,Checked-In,7500.0,1,2,0,,,7500.0,7500.0,1125.0,6375.0,0.0,0.0
BKG_000027,G_00394,2023-09-21,2024-03-03,2024-03-12,RT_STD,RC_RACK,CH_CORP,Leisure,POL_FLEX,Checked-In,22500.0,1,2,0,,,22500.0,22500.0,0.0,22500.0,0.0,0.0
BKG_000028,G_00599,2023-09-22,2024-02-18,2024-02-27,RT_STD,RC_RACK,CH_EXP,Leisure,POL_48H,Checked-In,22500.0,1,2,0,,,22500.0,22500.0,4050.0,18450.0,0.0,0.0
BKG_000029,G_02044,2023-09-25,2024-02-03,2024-02-11,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Cancelled,0.0,1,2,0,2024-01-10,RSN_05,17000.0,0.0,0.0,0.0,0.0,1.0
BKG_000030,G_02985,2023-10-01,2024-03-16,2024-03-21,RT_STD,RC_PROMO,CH_BKG,Leisure,POL_FLEX,Checked-In,10625.0,1,2,0,,,10625.0,10625.0,1593.75,9031.25,0.0,0.0
BKG_000031,G_04376,2023-10-02,2024-02-10,2024-02-22,RT_DLX,RC_CORP,CH_EXP,Group,POL_FLEX,Checked-In,36480.0,1,2,1,,,36480.0,36480.0,6566.4,29913.6,0.0,0.0
BKG_000032,G_05685,2023-10-02,2024-02-18,2024-02-28,RT_SUI,RC_PROMO,CH_BKG,Leisure,POL_NONREF,Checked-In,63750.0,1,2,1,,,63750.0,63750.0,9562.5,54187.5,0.0,1.0
BKG_000033,G_01977,2023-10-02,2024-03-20,2024-03-25,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Checked-In,10625.0,1,2,0,,,10625.0,10625.0,0.0,10625.0,0.0,1.0
BKG_000034,G_05705,2023-10-05,2024-02-22,2024-02-26,RT_STD,RC_NONREF,CH_BKG,Leisure,POL_FLEX,Checked-In,7500.0,1,2,0,,,7500.0,7500.0,1125.0,6375.0,0.0,0.0
BKG_000035,G_04859,2023-10-06,2024-03-24,2024-04-05,RT_DLX,RC_RACK,CH_EXP,Group,POL_NONREF,Checked-In,45600.0,1,1,1,,,45600.0,45600.0,8208.0,37392.0,0.0,1.0
BKG_000036,G_05293,2023-10-08,2024-03-26,2024-04-02,RT_DLX,RC_PROMO,CH_EXP,Leisure,POL_FLEX,No-Show,3230.0,1,1,0,,,22610.0,3230.0,581.4,2648.6,3230.0,0.0
BKG_000037,G_00286,2023-10-10,2024-03-07,2024-03-17,RT_SUI,RC_PROMO,CH_BKG,Leisure,POL_FLEX,Cancelled,0.0,1,2,2,2024-03-04,RSN_01,63750.0,0.0,0.0,0.0,0.0,0.0
BKG_000038,G_01556,2023-10-11,2024-02-05,2024-02-07,RT_OCN,RC_PROMO,CH_CORP,Leisure,POL_NONREF,Checked-In,8500.0,1,1,0,,,8500.0,8500.0,0.0,8500.0,0.0,1.0
BKG_000039,G_04837,2023-10-11,2024-02-16,2024-02-20,RT_STD,RC_PROMO,CH_BKG,Leisure,POL_FLEX,Checked-In,8500.0,1,2,0,,,8500.0,8500.0,1275.0,7225.0,0.0,0.0
BKG_000040,G_05031,2023-10-11,2024-03-05,2024-03-19,RT_DLX,RC_PROMO,CH_CORP,Leisure,POL_NONREF,Checked-In,45220.0,1,1,2,,,45220.0,45220.0,0.0,45220.0,0.0,1.0
BKG_000041,G_03302,2023-10-12,2024-02-09,2024-02-20,RT_SUI,RC_RACK,CH_BKG,Leisure,POL_NONREF,Checked-In,82500.0,1,2,1,,,82500.0,82500.0,12375.0,70125.0,0.0,1.0
BKG_000042,G_01669,2023-10-13,2024-02-01,2024-02-02,RT_DLX,RC_PROMO,CH_BKG,Leisure,POL_48H,Checked-In,3230.0,1,2,0,,,3230.0,3230.0,484.5,2745.5,0.0,0.0
BKG_000043,G_03331,2023-10-13,2024-03-08,2024-03-16,RT_STD,RC_NONREF,CH_DIR,Group,POL_FLEX,Checked-In,15000.0,1,2,0,,,15000.0,15000.0,0.0,15000.0,0.0,1.0
BKG_000044,G_01596,2023-10-14,2024-03-31,2024-04-11,RT_STD,RC_RACK,CH_BKG,Leisure,POL_FLEX,Cancelled,0.0,1,1,1,2024-02-29,RSN_01,27500.0,0.0,0.0,0.0,0.0,0.0
BKG_000045,G_04850,2023-10-16,2024-02-04,2024-02-08,RT_STD,RC_PROMO,CH_BKG,Leisure,POL_FLEX,Checked-In,8500.0,1,2,0,,,8500.0,8500.0,1275.0,7225.0,0.0,0.0
BKG_000046,G_04019,2023-10-16,2024-02-21,2024-03-01,RT_DLX,RC_RACK,CH_BKG,Leisure,POL_FLEX,Checked-In,34200.0,1,1,0,,,34200.0,34200.0,5130.0,29070.0,0.0,0.0
BKG_000047,G_04026,2023-10-17,2024-02-06,2024-02-18,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_FLEX,No-Show,2125.0,1,2,0,,,25500.0,2125.0,0.0,2125.0,2125.0,0.0
BKG_000048,G_00729,2023-10-17,2024-02-10,2024-02-12,RT_STD,RC_RACK,CH_DIR,Leisure,POL_NONREF,Checked-In,5000.0,1,2,0,,,5000.0,5000.0,0.0,5000.0,0.0,1.0
BKG_000049,G_03605,2023-10-18,2024-04-24,2024-04-30,RT_DLX,RC_RACK,CH_BKG,Group,POL_FLEX,No-Show,3800.0,1,2,1,,,22800.0,3800.0,570.0,3230.0,3800.0,0.0
BKG_000050,G_01832,2023-10-19,2024-02-06,2024-02-19,RT_DLX,RC_PROMO,CH_DIR,Leisure,POL_48H,Checked-In,41990.0,1,1,0,,,41990.0,41990.0,0.0,41990.0,0.0,1.0
BKG_000051,G_03293,2023-10-19,2024-06-12,2024-06-25,RT_STD,RC_NONREF,CH_DIR,Leisure,POL_FLEX,Checked-In,24375.0,1,1,1,,,24375.0,24375.0,0.0,24375.0,0.0,1.0
BKG_000052,G_02267,2023-10-22,2024-02-01,2024-02-13,RT_DLX,RC_RACK,CH_BKG,Leisure,POL_NONREF,Checked-In,45600.0,1,2,0,,,45600.0,45600.0,6840.0,38760.0,0.0,1.0
BKG_000053,G_01710,2023-10-23,2024-02-08,2024-02-18,RT_STD,RC_RACK,CH_DIR,Group,POL_FLEX,Checked-In,25000.0,1,2,0,,,25000.0,25000.0,0.0,25000.0,0.0,0.0
BKG_000054,G_05242,2023-10-23,2024-03-10,2024-03-16,RT_SUI,RC_NONREF,CH_EXP,Leisure,POL_FLEX,Cancelled,0.0,1,2,0,2023-11-10,RSN_01,33750.0,0.0,0.0,0.0,0.0,0.0
BKG_000055,G_00076,2023-10-24,2024-02-02,2024-02-04,RT_SUI,RC_PROMO,CH_BKG,Leisure,POL_FLEX,Cancelled,0.0,1,1,0,2024-01-30,RSN_01,12750.0,0.0,0.0,0.0,0.0,0.0
BKG_000056,G_02161,2023-10-24,2024-02-24,2024-02-27,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Checked-In,6375.0,1,2,0,,,6375.0,6375.0,0.0,6375.0,0.0,0.0
BKG_000057,G_05961,2023-10-26,2024-02-10,2024-02-19,RT_STD,RC_PROMO,CH_CORP,Leisure,POL_FLEX,Checked-In,19125.0,1,1,1,,,19125.0,19125.0,0.0,19125.0,0.0,0.0
BKG_000058,G_03146,2023-10-26,2024-02-26,2024-03-05,RT_DLX,RC_CORP,CH_BKG,Leisure,POL_FLEX,No-Show,3040.0,1,1,0,,,24320.0,3040.0,456.0,2584.0,3040.0,0.0
BKG_000059,G_02598,2023-10-26,2024-02-26,2024-03-09,RT_STD,RC_RACK,CH_DIR,Leisure,POL_FLEX,Cancelled,0.0,1,2,0,2024-02-15,RSN_06,30000.0,0.0,0.0,0.0,0.0,1.0
BKG_000060,G_01826,2023-10-26,2024-03-21,2024-04-01,RT_OCN,RC_NONREF,CH_CORP,Leisure,POL_48H,Checked-In,41250.0,1,1,2,,,41250.0,41250.0,0.0,41250.0,0.0,0.0
BKG_000061,G_05034,2023-10-27,2024-02-28,2024-03-11,RT_STD,RC_RACK,CH_EXP,Leisure,POL_FLEX,Checked-In,30000.0,1,2,0,,,30000.0,30000.0,5400.0,24600.0,0.0,0.0
BKG_000062,G_02313,2023-10-27,2024-03-03,2024-03-07,RT_STD,RC_NONREF,CH_EXP,Group,POL_NONREF,Checked-In,7500.0,1,2,0,,,7500.0,7500.0,1350.0,6150.0,0.0,1.0
BKG_000063,G_04854,2023-10-27,2024-04-13,2024-04-22,RT_STD,RC_PROMO,CH_CORP,Leisure,POL_FLEX,Cancelled,0.0,1,2,0,2024-04-07,RSN_06,19125.0,0.0,0.0,0.0,0.0,0.0
BKG_000064,G_00747,2023-10-28,2024-03-24,2024-04-05,RT_STD,RC_RACK,CH_EXP,Leisure,POL_FLEX,Cancelled,0.0,1,2,0,2023-11-08,RSN_01,30000.0,0.0,0.0,0.0,0.0,0.0
BKG_000065,G_04181,2023-10-29,2024-02-23,2024-02-29,RT_STD,RC_RACK,CH_EXP,Leisure,POL_FLEX,Cancelled,0.0,1,1,1,2023-11-17,RSN_01,15000.0,0.0,0.0,0.0,0.0,0.0
BKG_000066,G_03709,2023-10-29,2024-03-01,2024-03-15,RT_STD,RC_NONREF,CH_EXP,Leisure,POL_FLEX,Checked-In,26250.0,1,1,1,,,26250.0,26250.0,4725.0,21525.0,0.0,0.0
BKG_000067,G_03112,2023-10-29,2024-05-03,2024-05-16,RT_STD,RC_PROMO,CH_BKG,Leisure,POL_48H,Checked-In,27625.0,1,1,0,,,27625.0,27625.0,4143.75,23481.25,0.0,0.0
BKG_000068,G_04500,2023-10-30,2024-02-01,2024-02-14,RT_DLX,RC_PROMO,CH_DIR,Leisure,POL_NONREF,Checked-In,41990.0,1,2,0,,,41990.0,41990.0,0.0,41990.0,0.0,1.0
BKG_000069,G_01039,2023-10-30,2024-02-02,2024-02-08,RT_STD,RC_CORP,CH_EXP,Leisure,POL_FLEX,Checked-In,12000.0,1,2,0,,,12000.0,12000.0,2160.0,9840.0,0.0,0.0
BKG_000070,G_00786,2023-10-30,2024-02-10,2024-02-12,RT_STD,RC_PROMO,CH_DIR,Group,POL_NONREF,Checked-In,4250.0,1,2,0,,,4250.0,4250.0,0.0,4250.0,0.0,1.0
BKG_000071,G_03075,2023-10-31,2024-02-16,2024-03-01,RT_STD,RC_RACK,CH_EXP,Group,POL_NONREF,Checked-In,35000.0,1,2,0,,,35000.0,35000.0,6300.0,28700.0,0.0,1.0
BKG_000072,G_02406,2023-11-01,2024-02-02,2024-02-16,RT_STD,RC_NONREF,CH_DIR,Leisure,POL_FLEX,Cancelled,0.0,1,1,1,2023-12-19,RSN_03,26250.0,0.0,0.0,0.0,0.0,1.0
BKG_000073,G_01071,2023-11-02,2024-02-02,2024-02-13,RT_STD,RC_CORP,CH_BKG,Leisure,POL_FLEX,Checked-In,22000.0,1,1,1,,,22000.0,22000.0,3300.0,18700.0,0.0,0.0
BKG_000074,G_01426,2023-11-02,2024-02-17,2024-02-29,RT_STD,RC_PROMO,CH_DIR,Group,POL_FLEX,Checked-In,25500.0,1,1,0,,,25500.0,25500.0,0.0,25500.0,0.0,1.0
BKG_000075,G_03945,2023-11-02,2024-02-18,2024-02-23,RT_STD,RC_RACK,CH_CORP,Leisure,POL_48H,Checked-In,12500.0,1,2,0,,,12500.0,12500.0,0.0,12500.0,0.0,0.0
BKG_000076,G_01609,2023-11-03,2024-02-08,2024-02-13,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Checked-In,10625.0,1,2,0,,,10625.0,10625.0,0.0,10625.0,0.0,1.0
BKG_000077,G_02609,2023-11-04,2024-05-30,2024-06-03,RT_STD,RC_RACK,CH_DIR,Group,POL_NONREF,Checked-In,10000.0,1,2,0,,,10000.0,10000.0,0.0,10000.0,0.0,1.0
BKG_000078,G_03872,2023-11-04,2024-06-02,2024-06-15,RT_DLX,RC_RACK,CH_BKG,Leisure,POL_48H,Checked-In,49400.0,1,2,0,,,49400.0,49400.0,7410.0,41990.0,0.0,0.0
BKG_000079,G_03922,2023-11-05,2024-02-04,2024-02-16,RT_STD,RC_NONREF,CH_BKG,Leisure,POL_NONREF,Checked-In,22500.0,1,2,0,,,22500.0,22500.0,3375.0,19125.0,0.0,1.0
BKG_000080,G_05522,2023-11-05,2024-02-21,2024-03-05,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Checked-In,27625.0,1,2,0,,,27625.0,27625.0,0.0,27625.0,0.0,1.0
BKG_000081,G_03283,2023-11-05,2024-03-14,2024-03-19,RT_STD,RC_RACK,CH_BKG,Leisure,POL_48H,Checked-In,12500.0,1,2,0,,,12500.0,12500.0,1875.0,10625.0,0.0,0.0
BKG_000082,G_03721,2023-11-06,2024-02-25,2024-03-07,RT_OCN,RC_RACK,CH_EXP,Leisure,POL_FLEX,Checked-In,55000.0,1,1,1,,,55000.0,55000.0,9900.0,45100.0,0.0,0.0
BKG_000083,G_00996,2023-11-06,2024-02-29,2024-03-03,RT_STD,RC_RACK,CH_BKG,Leisure,POL_NONREF,Checked-In,7500.0,1,1,1,,,7500.0,7500.0,1125.0,6375.0,0.0,1.0
BKG_000084,G_05089,2023-11-07,2024-05-23,2024-06-03,RT_STD,RC_RACK,CH_DIR,Group,POL_FLEX,Cancelled,0.0,1,1,1,2024-04-19,RSN_03,27500.0,0.0,0.0,0.0,0.0,1.0
BKG_000085,G_00044,2023-11-08,2024-01-31,2024-02-02,RT_SUI,RC_NONREF,CH_BKG,Group,POL_FLEX,Cancelled,0.0,1,2,0,2024-01-28,RSN_01,11250.0,0.0,0.0,0.0,0.0,0.0
BKG_000086,G_03958,2023-11-08,2024-02-07,2024-02-14,RT_OCN,RC_RACK,CH_DIR,Leisure,POL_NONREF,Checked-In,35000.0,1,1,1,,,35000.0,35000.0,0.0,35000.0,0.0,1.0
BKG_000087,G_03555,2023-11-08,2024-03-23,2024-03-27,RT_OCN,RC_RACK,CH_BKG,Leisure,POL_FLEX,Checked-In,20000.0,1,2,1,,,20000.0,20000.0,3000.0,17000.0,0.0,0.0
BKG_000088,G_00156,2023-11-09,2024-02-09,2024-02-13,RT_SUI,RC_PROMO,CH_BKG,Group,POL_FLEX,Checked-In,25500.0,1,2,0,,,25500.0,25500.0,3825.0,21675.0,0.0,0.0
BKG_000089,G_04783,2023-11-09,2024-04-11,2024-04-18,RT_STD,RC_CORP,CH_BKG,Leisure,POL_FLEX,Checked-In,14000.0,1,1,1,,,14000.0,14000.0,2100.0,11900.0,0.0,0.0
BKG_000090,G_02739,2023-11-09,2024-05-10,2024-05-15,RT_STD,RC_CORP,CH_DIR,Group,POL_NONREF,Checked-In,10000.0,1,1,0,,,10000.0,10000.0,0.0,10000.0,0.0,1.0
BKG_000091,G_05393,2023-11-09,2024-05-19,2024-05-23,RT_OCN,RC_RACK,CH_EXP,Leisure,POL_FLEX,Checked-In,20000.0,1,2,0,,,20000.0,20000.0,3600.0,16400.0,0.0,0.0
BKG_000092,G_03465,2023-11-10,2024-03-01,2024-03-05,RT_STD,RC_RACK,CH_DIR,Leisure,POL_FLEX,Checked-In,10000.0,1,1,0,,,10000.0,10000.0,0.0,10000.0,0.0,1.0
BKG_000093,G_04995,2023-11-10,2024-03-14,2024-03-17,RT_STD,RC_CORP,CH_EXP,Leisure,POL_48H,Checked-In,6000.0,1,1,1,,,6000.0,6000.0,1080.0,4920.0,0.0,0.0
BKG_000094,G_02207,2023-11-11,2024-02-03,2024-02-17,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_48H,Checked-In,29750.0,1,1,0,,,29750.0,29750.0,0.0,29750.0,0.0,1.0
BKG_000095,G_00143,2023-11-11,2024-02-10,2024-02-22,RT_SUI,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Cancelled,0.0,1,1,1,2024-02-07,RSN_06,76500.0,0.0,0.0,0.0,0.0,1.0
BKG_000096,G_00228,2023-11-11,2024-02-17,2024-02-25,RT_SUI,RC_PROMO,CH_EXP,Leisure,POL_FLEX,Cancelled,0.0,1,1,0,2024-02-14,RSN_01,51000.0,0.0,0.0,0.0,0.0,0.0
BKG_000097,G_01147,2023-11-11,2024-02-19,2024-03-04,RT_DLX,RC_RACK,CH_BKG,Leisure,POL_48H,Checked-In,53200.0,1,1,2,,,53200.0,53200.0,7980.0,45220.0,0.0,0.0
BKG_000098,G_03214,2023-11-11,2024-05-24,2024-06-06,RT_DLX,RC_CORP,CH_BKG,Leisure,POL_FLEX,Cancelled,0.0,1,1,1,2024-01-25,RSN_01,39520.0,0.0,0.0,0.0,0.0,0.0
BKG_000099,G_02324,2023-11-12,2024-02-05,2024-02-12,RT_STD,RC_RACK,CH_DIR,Leisure,POL_NONREF,Checked-In,17500.0,1,1,1,,,17500.0,17500.0,0.0,17500.0,0.0,1.0
BKG_000100,G_05062,2023-11-12,2024-03-04,2024-03-05,RT_STD,RC_PROMO,CH_CORP,Leisure,POL_FLEX,Checked-In,2125.0,1,2,0,,,2125.0,2125.0,0.0,2125.0,0.0,0.0
BKG_000101,G_01793,2023-11-12,2024-03-06,2024-03-13,RT_DLX,RC_RACK,CH_DIR,Leisure,POL_FLEX,Checked-In,26600.0,1,1,2,,,26600.0,26600.0,0.0,26600.0,0.0,0.0
BKG_000102,G_02154,2023-11-12,2024-03-08,2024-03-11,RT_STD,RC_RACK,CH_DIR,Leisure,POL_FLEX,Cancelled,0.0,1,2,0,2024-01-23,RSN_04,7500.0,0.0,0.0,0.0,0.0,0.0
BKG_000103,G_00715,2023-11-13,2024-02-11,2024-02-18,RT_DLX,RC_PROMO,CH_EXP,Group,POL_FLEX,Checked-In,22610.0,1,2,1,,,22610.0,22610.0,4069.8,18540.2,0.0,0.0
BKG_000104,G_04786,2023-11-14,2024-02-07,2024-02-20,RT_STD,RC_NONREF,CH_EXP,Leisure,POL_FLEX,Checked-In,24375.0,1,1,1,,,24375.0,24375.0,4387.5,19987.5,0.0,0.0
BKG_000105,G_01121,2023-11-14,2024-02-08,2024-02-19,RT_STD,RC_RACK,CH_DIR,Group,POL_48H,Checked-In,27500.0,1,1,1,,,27500.0,27500.0,0.0,27500.0,0.0,0.0
BKG_000106,G_01589,2023-11-14,2024-02-29,2024-03-11,RT_STD,RC_RACK,CH_DIR,Leisure,POL_FLEX,Cancelled,0.0,1,2,0,2023-12-13,RSN_02,27500.0,0.0,0.0,0.0,0.0,1.0
BKG_000107,G_01399,2023-11-14,2024-03-06,2024-03-17,RT_DLX,RC_RACK,CH_EXP,Leisure,POL_FLEX,Checked-In,41800.0,1,1,0,,,41800.0,41800.0,7524.0,34276.0,0.0,0.0
BKG_000108,G_05850,2023-11-15,2024-02-12,2024-02-21,RT_STD,RC_RACK,CH_BKG,Leisure,POL_FLEX,Checked-In,22500.0,1,1,1,,,22500.0,22500.0,3375.0,19125.0,0.0,0.0
BKG_000109,G_01303,2023-11-15,2024-03-16,2024-03-24,RT_STD,RC_PROMO,CH_EXP,Leisure,POL_FLEX,Checked-In,17000.0,1,1,0,,,17000.0,17000.0,3060.0,13940.0,0.0,0.0
BKG_000110,G_05301,2023-11-16,2024-02-06,2024-02-10,RT_OCN,RC_NONREF,CH_DIR,Leisure,POL_FLEX,Checked-In,15000.0,1,2,1,,,15000.0,15000.0,0.0,15000.0,0.0,1.0
BKG_000111,G_05138,2023-11-16,2024-02-12,2024-02-13,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Checked-In,2125.0,1,1,0,,,2125.0,2125.0,0.0,2125.0,0.0,0.0
BKG_000112,G_05344,2023-11-16,2024-03-25,2024-03-30,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Checked-In,10625.0,1,2,0,,,10625.0,10625.0,0.0,10625.0,0.0,1.0
BKG_000113,G_03558,2023-11-17,2024-02-05,2024-02-12,RT_STD,RC_NONREF,CH_EXP,Leisure,POL_FLEX,Checked-In,13125.0,1,1,1,,,13125.0,13125.0,2362.5,10762.5,0.0,0.0
BKG_000114,G_03301,2023-11-17,2024-02-10,2024-02-11,RT_STD,RC_NONREF,CH_BKG,Leisure,POL_FLEX,Cancelled,0.0,1,2,0,2023-12-13,RSN_01,1875.0,0.0,0.0,0.0,0.0,0.0
BKG_000115,G_01364,2023-11-17,2024-02-25,2024-03-09,RT_OCN,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Cancelled,0.0,1,2,1,2024-01-06,RSN_05,55250.0,0.0,0.0,0.0,0.0,0.0
BKG_000116,G_00936,2023-11-17,2024-03-15,2024-03-16,RT_DLX,RC_RACK,CH_EXP,Leisure,POL_FLEX,Checked-In,3800.0,1,1,1,,,3800.0,3800.0,684.0,3116.0,0.0,0.0
BKG_000117,G_00428,2023-11-17,2024-03-22,2024-04-04,RT_STD,RC_PROMO,CH_EXP,Leisure,POL_FLEX,Checked-In,27625.0,1,1,1,,,27625.0,27625.0,4972.5,22652.5,0.0,0.0
BKG_000118,G_02876,2023-11-19,2024-02-07,2024-02-12,RT_DLX,RC_RACK,CH_BKG,Leisure,POL_48H,Cancelled,0.0,1,1,0,2023-12-02,RSN_01,19000.0,0.0,0.0,0.0,0.0,0.0
BKG_000119,G_03743,2023-11-19,2024-03-11,2024-03-20,RT_STD,RC_RACK,CH_CORP,Leisure,POL_FLEX,Checked-In,22500.0,1,1,0,,,22500.0,22500.0,0.0,22500.0,0.0,0.0
